shortcode,date,title,price_mxn,price_usd,is_sold,caption_preview,url
Cy1qmSYu6ec,2023-10-25,Gibson Les Paul Historic 1959 Custom Shop R9 ’59 Hand Picked Limited 60th Anniversary VOS – Green Lemon Fade,141999,,NO,guitarshome   127w Gibson Les Paul Historic 1959 Custom Shop R9 ’59 Hand Picked ,https://www.instagram.com/p/Cy1qmSYu6ec/
Cy1CjYwu7WM,2023-10-25,PRS Wood Library Custom 24 Quilt 10 Top Korina Body and Neck - Faded Whale Blue,91999,,NO,guitarshome   127w PRS Wood Library Custom 24 Quilt 10 Top Korina Body and Neck ,https://www.instagram.com/p/Cy1CjYwu7WM/
CxzUNFbOxIC,2023-09-30,PRS SE Hollow-body II 2022 - Charcoal Burst,25999,,NO,"guitarshome   131w PRS SE Hollow-body II 2022 - Charcoal Burst *** $25,999 ***  ",https://www.instagram.com/p/CxzUNFbOxIC/
Cxyo7zNOBr8,2023-09-29,Gibson Les Paul Custom Florentine Plus 5A Custom Shop 1996 – Natural,139999,,NO,guitarshome   131w Gibson Les Paul Custom Florentine Plus 5A Custom Shop 1996 – ,https://www.instagram.com/p/Cxyo7zNOBr8/
CxyFyCoOqZ5,2023-09-29,Fender Rory Gallagher Stratocaster 1961 Custom Shop 2021 - Heavy Relic Sunburst,94999,,NO,guitarshome   131w Fender Rory Gallagher Stratocaster 1961 Custom Shop 2021 - He,https://www.instagram.com/p/CxyFyCoOqZ5/
CxwqYuyOu2D,2023-09-29,Fender Stratocaster Kenny Wayne Shepherd 2022 Transparent Faded Sonic Blue,48999,,NO,guitarshome   131w Fender Stratocaster Kenny Wayne Shepherd 2022 Transparent Fad,https://www.instagram.com/p/CxwqYuyOu2D/
CxwDiqdOent,2023-09-28,Taylor K22e LTD 12-Fret Hawaiian Koa,,5500,NO,"guitarshome   131w Taylor K22e LTD 12-Fret Hawaiian Koa (List Price $5,500dlls) ",https://www.instagram.com/p/CxwDiqdOent/
Cxvpp4cOXBt,2023-09-28,Fender Stratocaster 60th Commemorative Anniversary 1954 '54 - Sunburst,35999,,NO,guitarshome   131w Fender Stratocaster 60th Commemorative Anniversary 1954 '54 -,https://www.instagram.com/p/Cxvpp4cOXBt/
CxtxNDQuJNf,2023-09-28,PRS McCarty Limited Edition Korina - Vintage Cherry 2009,61999,,NO,guitarshome   131w PRS McCarty Limited Edition Korina - Vintage Cherry 2009 *** ,https://www.instagram.com/p/CxtxNDQuJNf/
Cxt0-JUORIc,2023-09-28,Gibson Les Paul Historic 1959 Custom Shop R9 ’59 VOS Hand Picked 2023 - Golden Poppy Burst,131999,,NO,guitarshome   131w Gibson Les Paul Historic 1959 Custom Shop R9 ’59 VOS Hand Pic,https://www.instagram.com/p/Cxt0-JUORIc/
CxrWQqUOxyt,2023-09-27,Gretsch G6139CB WHITE FALCON,71999,,NO,"guitarshome   131w Gretsch G6139CB WHITE FALCON 🔥 *** $71,999 *** Visita WWW.GUI",https://www.instagram.com/p/CxrWQqUOxyt/
CxqW2xBO0Ys,2023-09-26,PRS Singlecut 2001 Quilt Top - Black Cherry,60999,,NO,"guitarshome   131w PRS Singlecut 2001 Quilt Top - Black Cherry *** $60,999 *** V",https://www.instagram.com/p/CxqW2xBO0Ys/
CxorCKWu8TF,2023-09-26,Fender Stratocaster 1967 Custom Shop ’67 Limited Namm Relic – Sonic Blue over Sunburst,77999,,NO,guitarshome   131w Fender Stratocaster 1967 Custom Shop ’67 Limited Namm Relic –,https://www.instagram.com/p/CxorCKWu8TF/
CxoCBphOd_D,2023-09-25,PRS Wood library McCarty 594 Quilt 10 Top - Grey Black Fade,87999,,NO,guitarshome   131w PRS Wood library McCarty 594 Quilt 10 Top - Grey Black Fade *,https://www.instagram.com/p/CxoCBphOd_D/
CxdZkeWO6ii,2023-09-21,Taylor 716ce Grand Symphony - Natural,62999,,NO,"guitarshome   132w Taylor 716ce Grand Symphony - Natural *** $62,999 *** Visita ",https://www.instagram.com/p/CxdZkeWO6ii/
CxcCwTnLp-_,2023-09-21,Taylor 214ce-K 2022,24999,,NO,"guitarshome   132w Taylor 214ce-K 2022  *** $24,999 ***  Visita WWW.GUITARS-HOME",https://www.instagram.com/p/CxcCwTnLp-_/
Cxa8WfCuSbi,2023-09-20,Martin Custom Shop GP-14 White with Vanilla Cream Pearl,92999,,NO,guitarshome   132w Martin Custom Shop GP-14 White with Vanilla Cream Pearl *** $,https://www.instagram.com/p/Cxa8WfCuSbi/
Cx_H3J9OUUd,2023-10-04,Gibson Les Paul Historic 1959 Custom Shop '59 R9 VOS 2021 - Tobacco Burst,125999,,NO,guitarshome   130w Gibson Les Paul Historic 1959 Custom Shop '59 R9 VOS 2021 - T,https://www.instagram.com/p/Cx_H3J9OUUd/
CxZWQIvO8hS,2023-09-20,Fender American Acoustasonic Stratocaster - Sonic Blue,34999,,NO,guitarshome   132w Fender American Acoustasonic Stratocaster - Sonic Blue  *** $,https://www.instagram.com/p/CxZWQIvO8hS/
CxYcch1umlT,2023-09-19,Martin BC-16E Bass Rosewood Back and Sides 2021 - Natural,41999,,NO,guitarshome   132w Martin BC-16E Bass Rosewood Back and Sides 2021 - Natural ***,https://www.instagram.com/p/CxYcch1umlT/
CxWuNUCOyFN,2023-09-19,Taylor 520e Limited Edition Tropical Mahogany - Shaded Edge Burst,,,NO,guitarshome   132w Taylor 520e Limited Edition Tropical Mahogany - Shaded Edge B,https://www.instagram.com/p/CxWuNUCOyFN/
CxVwU-SOQ1Q,2023-09-18,Gibson Explorer Reverse Limited Rare Guitar of the Month 2008 - Antique Walnut,65999,,NO,guitarshome   132w Gibson Explorer Reverse Limited Rare Guitar of the Month 2008,https://www.instagram.com/p/CxVwU-SOQ1Q/
CxUNT1jOb7d,2023-09-18,Taylor 714ce - Western Sunburst,57999,,NO,"guitarshome   132w Taylor 714ce - Western Sunburst *** $57,999 *** Visita WWW.GU",https://www.instagram.com/p/CxUNT1jOb7d/
CxTRu9sOiJM,2023-09-17,Gibson Les Paul Historic 1959 Custom Shop R9 ’59 VOS – Dirty Lemon Burst 2023,131999,,NO,guitarshome   132w Gibson Les Paul Historic 1959 Custom Shop R9 ’59 VOS – Dirty ,https://www.instagram.com/p/CxTRu9sOiJM/
CxRUyHruRcu,2023-09-16,Taylor Builder's Edition 517e Grand Pacific V-Class Left Handed 2019 - Wild Honey Burst,59999,,NO,guitarshome   132w Taylor Builder's Edition 517e Grand Pacific V-Class Left Hand,https://www.instagram.com/p/CxRUyHruRcu/
CxQ1RBIOsUy,2023-09-16,Paul Reed Smith PRS Wood Library P245 Single Cut Limited Piezo 10 Top - Honey,85999,,NO,guitarshome   132w Paul Reed Smith PRS Wood Library P245 Single Cut Limited Piez,https://www.instagram.com/p/CxQ1RBIOsUy/
CxOCBRHuVi-,2023-09-15,Paul Reed Smith PRS Wood Library Paul's Guitar Quilt Top Special Edition - Mccarty Sunburst,91999,,NO,guitarshome   133w Paul Reed Smith PRS Wood Library Paul's Guitar Quilt Top Spec,https://www.instagram.com/p/CxOCBRHuVi-/
CxO-K4yuPcJ,2023-09-16,Taylor 610e Dreadnought – - Awesome Brown Sugar Maple Flamed Back & Sides,59999,,NO,guitarshome   133w Taylor 610e Dreadnought - Awesome Brown Sugar Maple Flamed Ba,https://www.instagram.com/p/CxO-K4yuPcJ/
CxLeinHOkuv,2023-09-14,Fender Telecaster Thinline Custom Shop 50's Tv Jones - Vintage White Gold,79999,,NO,guitarshome   133w Fender Telecaster Thinline Custom Shop 50's Tv Jones - Vintag,https://www.instagram.com/p/CxLeinHOkuv/
CxJ5V7TOWKw,2023-09-14,Fender American Vintage II 1966 Jazzmaster 2022 Matching Headstock – Lake Placid Blue,45999,,NO,guitarshome   133w Fender American Vintage II 1966 Jazzmaster 2022 Matching Head,https://www.instagram.com/p/CxJ5V7TOWKw/
CxI-G7Vu0_M,2023-09-13,Gibson Les Paul Classic 2021 HoneyBurst,45999,,NO,"guitarshome   133w Gibson Les Paul Classic 2021 HoneyBurst *** $45,999 *** Visit",https://www.instagram.com/p/CxI-G7Vu0_M/
CxHaKYyOl9x,2023-09-13,Gibson Les Paul Standard '50s P-90 2023 - Goldtop,56999,,NO,"guitarshome   133w Gibson Les Paul Standard '50s P-90 2023 - Goldtop *** $56,999",https://www.instagram.com/p/CxHaKYyOl9x/
CxGTdTNOLRP,2023-09-12,Gibson Les Paul Historic 1959 Custom Shop R9 ’59 2021 VOS – Washed Cherry Sunburst,126999,,NO,guitarshome   133w Gibson Les Paul Historic 1959 Custom Shop R9 ’59 2021 VOS – W,https://www.instagram.com/p/CxGTdTNOLRP/
CxEkra0O-En,2023-09-12,Gibson Les Paul Historic 1958 Custom Shop ’58 R8 2020 – Iced Tea Burst,91999,,NO,guitarshome   133w Gibson Les Paul Historic 1958 Custom Shop ’58 R8 2020 – Iced ,https://www.instagram.com/p/CxEkra0O-En/
CxDzIfWuLnF,2023-09-11,Gibson Les Paul Historic 1958 Custom Shop ’58 R8 2018 – Vintage Cherry Sunburst,91999,,NO,guitarshome   133w Gibson Les Paul Historic 1958 Custom Shop ’58 R8 2018 – Vinta,https://www.instagram.com/p/CxDzIfWuLnF/
CxBNgXaOVXa,2023-09-10,Suhr Mateus Asato Signature Classic Antique- Shell Pink 2022,73999,,NO,guitarshome   133w Suhr Mateus Asato Signature Classic Antique- Shell Pink 2022 ,https://www.instagram.com/p/CxBNgXaOVXa/
CxB33m-O3uA,2023-09-10,Suhr Modern Pro HSH with Pau Ferro – Trans Blue Denim Slate,69999,,NO,guitarshome   133w Suhr Modern Pro HSH with Pau Ferro – Trans Blue Denim Slate  ,https://www.instagram.com/p/CxB33m-O3uA/
Cx9lgVUu74J,2023-10-04,Fender 1962 Jazz Bass Custom Shop 30th Anniversary - Journeyman Relic Surf Green,74999,,NO,guitarshome   130w Fender 1962 Jazz Bass Custom Shop 30th Anniversary - Journeym,https://www.instagram.com/p/Cx9lgVUu74J/
Cx8WEC4O0jR,2023-10-03,PRS McCarty 594 Wood Library P-90 RARE Limited Brazilian Rosewood – Angry Larry,93999,,NO,guitarshome   130w PRS McCarty 594 Wood Library P-90 RARE Limited Brazilian Rose,https://www.instagram.com/p/Cx8WEC4O0jR/
Cx85UDCu3jh,2023-10-03,Gibson Les Paul Standard ’60s Iced Tea Burst 2022,55999,,NO,"guitarshome   130w Gibson Les Paul Standard ’60s Iced Tea Burst 2022  *** $55,99",https://www.instagram.com/p/Cx85UDCu3jh/
